accuracy_total,accuracy_druggable,accuracy_non_druggable
0.5133333333333333,0.47833333333333333,0.5483333333333333
0.5983333333333334,0.585,0.6116666666666667
0.6458333333333334,0.6283333333333333,0.6633333333333333
0.6333333333333333,0.5866666666666667,0.68
0.6625,0.645,0.68
0.67,0.635,0.705
0.6808333333333333,0.6616666666666666,0.7
0.67,0.6483333333333333,0.6916666666666667
0.68,0.6516666666666666,0.7083333333333334
0.6725,0.6466666666666666,0.6983333333333334
0.6791666666666667,0.6383333333333333,0.72
0.6933333333333334,0.655,0.7316666666666667
0.6816666666666666,0.6466666666666666,0.7166666666666667
0.7116666666666667,0.6716666666666666,0.7516666666666667
0.7116666666666667,0.69,0.7333333333333333
0.7083333333333334,0.6866666666666666,0.73
0.7208333333333333,0.695,0.7466666666666667
0.72,0.6783333333333333,0.7616666666666667
0.715,0.6916666666666667,0.7383333333333333
0.7133333333333334,0.68,0.7466666666666667
0.7216666666666667,0.7033333333333334,0.74
0.72,0.695,0.745
0.7141666666666666,0.6816666666666666,0.7466666666666667
0.7166666666666667,0.6916666666666667,0.7416666666666667
0.7266666666666667,0.6966666666666667,0.7566666666666667
0.7216666666666667,0.6916666666666667,0.7516666666666667
0.7258333333333333,0.69,0.7616666666666667
0.7141666666666666,0.6966666666666667,0.7316666666666667
0.7383333333333333,0.7033333333333334,0.7733333333333333
0.7308333333333333,0.705,0.7566666666666667
0.73,0.69,0.77
0.7275,0.6833333333333333,0.7716666666666666
0.7425,0.7133333333333334,0.7716666666666666
0.7208333333333333,0.6783333333333333,0.7633333333333333
0.7291666666666666,0.6983333333333334,0.76
0.7383333333333333,0.715,0.7616666666666667
0.7316666666666667,0.6983333333333334,0.765
0.7316666666666667,0.7083333333333334,0.755
0.7258333333333333,0.69,0.7616666666666667
0.7491666666666666,0.7133333333333334,0.785
0.7341666666666666,0.685,0.7833333333333333
0.735,0.6866666666666666,0.7833333333333333
0.7391666666666666,0.7066666666666667,0.7716666666666666
0.7258333333333333,0.6966666666666667,0.755
0.7433333333333333,0.7066666666666667,0.78
0.7466666666666667,0.7183333333333334,0.775
0.74,0.715,0.765
0.7416666666666667,0.7083333333333334,0.775
0.7333333333333333,0.6933333333333334,0.7733333333333333
0.74,0.7066666666666667,0.7733333333333333
0.7425,0.7016666666666667,0.7833333333333333
0.74,0.7133333333333334,0.7666666666666667
0.7358333333333333,0.705,0.7666666666666667
0.7433333333333333,0.7066666666666667,0.78
0.7333333333333333,0.7016666666666667,0.765
0.7408333333333333,0.705,0.7766666666666666
0.75,0.7166666666666667,0.7833333333333333
0.7425,0.715,0.77
0.7275,0.6933333333333334,0.7616666666666667
0.7483333333333333,0.715,0.7816666666666666
0.7375,0.7116666666666667,0.7633333333333333
0.7458333333333333,0.7183333333333334,0.7733333333333333
0.7516666666666667,0.72,0.7833333333333333
0.7333333333333333,0.7,0.7666666666666667
0.7408333333333333,0.7116666666666667,0.77
0.7325,0.6933333333333334,0.7716666666666666
0.7491666666666666,0.7266666666666667,0.7716666666666666
0.7466666666666667,0.7233333333333334,0.77
0.74,0.6916666666666667,0.7883333333333333
0.7516666666666667,0.715,0.7883333333333333
0.7458333333333333,0.725,0.7666666666666667
0.7541666666666667,0.7366666666666667,0.7716666666666666
0.7416666666666667,0.695,0.7883333333333333
0.7391666666666666,0.7066666666666667,0.7716666666666666
0.7333333333333333,0.6966666666666667,0.77
0.7541666666666667,0.725,0.7833333333333333
0.7483333333333333,0.7166666666666667,0.78
0.7391666666666666,0.71,0.7683333333333333
0.7483333333333333,0.71,0.7866666666666666
0.7325,0.7083333333333334,0.7566666666666667
0.75,0.71,0.79
0.7441666666666666,0.715,0.7733333333333333
0.7566666666666667,0.7266666666666667,0.7866666666666666
0.7483333333333333,0.7233333333333334,0.7733333333333333
0.7441666666666666,0.7166666666666667,0.7716666666666666
0.755,0.72,0.79
0.7416666666666667,0.705,0.7783333333333333
0.7425,0.7116666666666667,0.7733333333333333
0.7441666666666666,0.7066666666666667,0.7816666666666666
0.745,0.715,0.775
0.7441666666666666,0.6983333333333334,0.79
0.7483333333333333,0.7216666666666667,0.775
0.7483333333333333,0.715,0.7816666666666666
0.7433333333333333,0.7083333333333334,0.7783333333333333
0.7433333333333333,0.7116666666666667,0.775
0.7375,0.7066666666666667,0.7683333333333333
0.7358333333333333,0.7,0.7716666666666666
0.7458333333333333,0.7116666666666667,0.78
0.74,0.7116666666666667,0.7683333333333333
0.7425,0.715,0.77
0.7408333333333333,0.7166666666666667,0.765
0.7391666666666666,0.7083333333333334,0.77
0.745,0.7166666666666667,0.7733333333333333
0.7491666666666666,0.725,0.7733333333333333
0.7433333333333333,0.7133333333333334,0.7733333333333333
0.7375,0.705,0.77
0.7458333333333333,0.7216666666666667,0.77
0.74,0.715,0.765
0.7408333333333333,0.7083333333333334,0.7733333333333333
0.7475,0.7133333333333334,0.7816666666666666
0.7425,0.7066666666666667,0.7783333333333333
0.7383333333333333,0.705,0.7716666666666666
0.7458333333333333,0.7116666666666667,0.78
0.7466666666666667,0.7116666666666667,0.7816666666666666
0.7475,0.7233333333333334,0.7716666666666666
0.7425,0.7116666666666667,0.7733333333333333
0.7508333333333334,0.72,0.7816666666666666
0.7491666666666666,0.7266666666666667,0.7716666666666666
0.7466666666666667,0.7166666666666667,0.7766666666666666
0.7516666666666667,0.715,0.7883333333333333
0.7516666666666667,0.7266666666666667,0.7766666666666666
0.7325,0.7033333333333334,0.7616666666666667
0.7433333333333333,0.7216666666666667,0.765
0.7466666666666667,0.715,0.7783333333333333
0.7475,0.7183333333333334,0.7766666666666666
0.7383333333333333,0.7016666666666667,0.775
0.755,0.72,0.79
